Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1745901692,1,,Aggregated,0.600000,0.000000,82,110,140,140,320,960,960,960,960,960,960,14,0,79,159.24190000000013,32.61230000000026,960.8462000000006,3314.5714285714284
1745901693,1,,Aggregated,0.500000,0.000000,79,93,140,140,320,960,960,960,960,960,960,15,0,79,152.81887999999978,32.61230000000026,960.8462000000006,3097.4666666666667
1745901694,1,,Aggregated,0.500000,0.000000,79,93,140,140,320,960,960,960,960,960,960,15,0,79,152.81887999999978,32.61230000000026,960.8462000000006,3097.4666666666667
1745901695,1,,Aggregated,0.500000,0.000000,82,110,140,140,320,960,960,960,960,960,960,16,0,79,150.04941874999992,32.61230000000026,960.8462000000006,2950.1875
1745901696,1,,Aggregated,0.500000,0.000000,82,110,110,140,320,960,960,960,960,960,960,17,0,82,146.21942352941153,32.61230000000026,960.8462000000006,2780.0588235294117
1745901697,1,,Aggregated,0.500000,0.000000,82,110,110,140,320,960,960,960,960,960,960,17,0,82,146.21942352941153,32.61230000000026,960.8462000000006,2780.0588235294117
1745901698,1,,Aggregated,0.500000,0.000000,82,110,110,140,320,960,960,960,960,960,960,17,0,82,146.21942352941153,32.61230000000026,960.8462000000006,2780.0588235294117
1745901699,1,,Aggregated,0.500000,0.000000,85,110,140,140,320,960,960,960,960,960,960,18,0,82,146.90752777777743,32.61230000000026,960.8462000000006,3818.0555555555557
1745901701,1,,Aggregated,0.500000,0.000000,85,110,140,140,320,960,960,960,960,960,960,18,0,82,146.90752777777743,32.61230000000026,960.8462000000006,3818.0555555555557
1745901702,1,,Aggregated,0.400000,0.000000,85,110,140,140,320,960,960,960,960,960,960,19,0,85,143.9097631578945,32.61230000000026,960.8462000000006,3617.2105263157896
1745901703,1,,Aggregated,0.500000,0.000000,85,110,140,140,320,960,960,960,960,960,960,20,0,82,139.79738999999987,32.61230000000026,960.8462000000006,3439.25
1745901704,1,,Aggregated,0.500000,0.000000,85,110,140,140,320,960,960,960,960,960,960,20,0,82,139.79738999999987,32.61230000000026,960.8462000000006,3439.25
1745901705,1,,Aggregated,0.500000,0.000000,85,110,140,140,160,320,960,960,960,960,960,21,0,85,139.61819047619022,32.61230000000026,960.8462000000006,3275.5714285714284
1745901706,1,,Aggregated,0.500000,0.000000,85,110,140,140,160,320,960,960,960,960,960,21,0,85,139.61819047619022,32.61230000000026,960.8462000000006,3275.5714285714284
1745901707,1,,Aggregated,0.500000,0.000000,85,110,140,140,160,320,960,960,960,960,960,22,0,82,136.3259863636361,32.61230000000026,960.8462000000006,3129.318181818182
1745901708,1,,Aggregated,0.500000,0.000000,85,110,140,140,160,320,960,960,960,960,960,22,0,82,136.3259863636361,32.61230000000026,960.8462000000006,3129.318181818182
1745901709,1,,Aggregated,0.500000,0.000000,85,110,140,140,160,320,960,960,960,960,960,22,0,82,136.3259863636361,32.61230000000026,960.8462000000006,3129.318181818182
1745901710,1,,Aggregated,0.500000,0.000000,85,110,140,140,160,320,960,960,960,960,960,23,0,85,134.25479130434772,32.61230000000026,960.8462000000006,2993.3478260869565
1745901711,1,,Aggregated,0.500000,0.000000,85,93,140,140,160,320,960,960,960,960,960,24,0,82,131.123475,32.61230000000026,960.8462000000006,2868.7083333333335
1745901712,1,,Aggregated,0.500000,0.000000,85,93,140,140,160,320,960,960,960,960,960,24,0,82,131.123475,32.61230000000026,960.8462000000006,2868.7083333333335
1745901713,1,,Aggregated,0.500000,0.000000,85,93,140,140,160,320,960,960,960,960,960,24,0,82,131.123475,32.61230000000026,960.8462000000006,2868.7083333333335
1745901714,1,,Aggregated,0.600000,0.000000,85,110,140,140,160,320,960,960,960,960,960,25,0,85,132.073276,32.61230000000026,960.8462000000006,2783.6
1745901715,1,,Aggregated,0.600000,0.000000,85,110,140,140,160,320,960,960,960,960,960,25,0,85,132.073276,32.61230000000026,960.8462000000006,2783.6
1745901716,1,,Aggregated,0.400000,0.000000,85,110,140,140,160,320,960,960,960,960,960,26,0,82,129.91979230769232,32.61230000000026,960.8462000000006,2705.0384615384614
1745901717,1,,Aggregated,0.400000,0.000000,85,110,140,140,160,320,960,960,960,960,960,26,0,82,129.91979230769232,32.61230000000026,960.8462000000006,2705.0384615384614
1745901718,1,,Aggregated,0.500000,0.000000,85,110,140,140,210,320,960,960,960,960,960,27,0,85,132.74571851851877,32.61230000000026,960.8462000000006,3399.814814814815
1745901719,1,,Aggregated,0.500000,0.000000,85,110,140,140,210,320,960,960,960,960,960,27,0,85,132.74571851851877,32.61230000000026,960.8462000000006,3399.814814814815
1745901720,1,,Aggregated,0.500000,0.000000,85,110,140,140,210,320,960,960,960,960,960,27,0,85,132.74571851851877,32.61230000000026,960.8462000000006,3399.814814814815
1745901721,1,,Aggregated,0.400000,0.000000,89,110,140,140,210,320,960,960,960,960,960,28,0,85,133.04086071428588,32.61230000000026,960.8462000000006,3278.464285714286
1745901722,1,,Aggregated,0.500000,0.000000,85,110,140,140,210,320,960,960,960,960,960,29,0,85,129.97547586206926,32.61230000000026,960.8462000000006,3165.4827586206898
1745901723,1,,Aggregated,0.500000,0.000000,85,110,140,140,210,320,960,960,960,960,960,29,0,85,129.97547586206926,32.61230000000026,960.8462000000006,3165.4827586206898
1745901724,1,,Aggregated,0.400000,0.000000,85,110,140,140,210,320,960,960,960,960,960,30,0,84,128.43587666666693,32.61230000000026,960.8462000000006,3061.9
1745901725,1,,Aggregated,0.500000,0.000000,85,110,140,140,160,320,960,960,960,960,960,31,0,85,128.0956903225808,32.61230000000026,960.8462000000006,2987.032258064516
1745901726,1,,Aggregated,0.500000,0.000000,85,110,140,140,160,320,960,960,960,960,960,31,0,85,128.0956903225808,32.61230000000026,960.8462000000006,2987.032258064516
1745901727,1,,Aggregated,0.500000,0.000000,85,110,140,140,160,320,960,960,960,960,960,31,0,85,128.0956903225808,32.61230000000026,960.8462000000006,2987.032258064516
1745901728,1,,Aggregated,0.500000,0.000000,89,110,140,140,160,320,960,960,960,960,960,32,0,85,127.14569687499986,32.61230000000026,960.8462000000006,2893.75
